t,ax,ay,az,gx,gy,gz
0.53972,-408,321,-31,-3,7,1
0.59230,-405,322,-32,-3,7,1
0.59237,-405,322,-32,-3,7,1
0.59239,-405,322,-32,-3,7,1
0.59241,-406,320,-32,-3,7,1
0.59242,-406,320,-32,-3,7,1
0.59334,-405,319,-29,-3,7,1
0.59341,-405,319,-29,-3,7,1
0.59351,-405,319,-29,-3,7,1
0.59354,-401,321,-26,-3,7,1
0.59363,-401,321,-26,-3,7,1
0.59368,-400,321,-24,-3,7,1
0.59377,-400,321,-24,-3,7,1
0.59380,-400,321,-24,-3,7,1
0.59394,-401,319,-22,-3,7,1
0.59398,-401,319,-22,-3,7,1
0.59402,-402,317,-20,-3,7,1
0.64518,-399,321,-29,-3,7,1
0.64541,-399,319,-24,-3,7,1
0.64544,-399,319,-24,-3,7,1
0.64557,-399,319,-24,-3,7,1
0.64561,-402,318,-21,-3,7,1
0.64562,-402,318,-21,-3,7,1
0.64570,-401,319,-24,-3,7,1
0.64574,-401,319,-24,-3,7,1
0.64579,-401,319,-24,-3,7,1
0.64584,-400,320,-28,-3,7,1
0.64586,-400,320,-28,-3,7,1
0.64595,-407,320,-30,-3,7,1
0.64596,-407,320,-30,-3,7,1
0.64598,-407,320,-30,-3,7,1
0.64599,-412,319,-33,-3,7,1
0.64600,-412,319,-33,-3,7,1
0.70041,-401,320,-25,-3,7,1
0.70048,-401,320,-25,-3,7,1
0.70050,-402,318,-27,-3,7,1
0.70052,-402,318,-27,-3,7,1
0.70053,-402,318,-27,-3,7,1
0.70064,-405,318,-29,-3,7,1
0.70071,-405,318,-29,-3,7,1
0.70073,-407,319,-33,-3,7,1
0.70076,-407,319,-33,-3,7,1
0.70084,-404,321,-35,-3,7,1
0.70086,-404,321,-35,-3,7,1
0.70087,-404,321,-35,-3,7,1
0.70088,-401,321,-30,-3,7,1
0.70103,-401,321,-30,-3,7,1
0.70104,-401,320,-25,-3,7,1
0.70106,-401,320,-25,-3,7,1
0.75315,-401,319,-25,-3,7,1
0.75321,-401,319,-25,-3,7,1
0.75334,-401,319,-25,-3,7,1
0.75338,-401,318,-22,-3,7,1
0.75340,-401,318,-22,-3,7,1
0.75342,-402,317,-22,-3,7,1
0.75344,-402,317,-22,-3,7,1
0.75357,-402,317,-22,-3,7,1
0.75361,-403,316,-23,-3,7,1
0.75369,-403,316,-23,-3,7,1
0.75379,-404,316,-26,-3,7,1
0.75383,-404,316,-26,-3,7,1
0.75385,-404,316,-26,-3,7,1
0.75387,-406,318,-31,-3,7,1
0.75390,-406,318,-31,-3,7,1
0.75406,-406,320,-33,-3,7,1
0.80822,-404,316,-24,-3,7,1
0.80827,-404,318,-27,-3,7,1
0.80832,-404,318,-27,-3,7,1
0.80835,-404,318,-27,-3,7,1
0.80846,-403,320,-30,-3,7,1
0.80847,-403,320,-30,-3,7,1
0.80849,-406,320,-31,-3,7,1
0.80850,-406,320,-31,-3,7,1
